Date	Open	High	Low	Close	Volume	Adj Close
2015-04-30	10.94	11.36	10.85	10.97	13969200	10.97
2015-04-29	10.66	10.96	10.40	10.88	7999300	10.88
2015-04-28	11.27	11.28	10.63	10.74	12199500	10.74
2015-04-27	11.12	11.41	11.11	11.20	20909300	11.20
2015-04-24	11.39	11.40	10.85	11.09	24575000	11.09
2015-04-23	10.71	11.77	10.55	11.54	31381600	11.54
2015-04-22	10.55	10.75	10.42	10.71	14543600	10.71
2015-04-21	10.12	10.52	10.11	10.51	12995700	10.51
2015-04-20	10.20	10.57	10.00	10.11	18601200	10.11
2015-04-17	10.30	10.56	10.13	10.18	14929500	10.18
2015-04-16	10.44	10.69	9.94	10.32	13584700	10.32
2015-04-15	11.09	11.27	10.50	10.59	16135300	10.59
2015-04-14	11.41	12.39	11.28	11.67	17438300	11.67
2015-04-13	18.06992	18.35008	17.70	18.08	17639500	11.27
2015-04-10	17.18992	18.42	17.13008	18.08992	16640000	11.27618
2015-04-09	18.18	18.36992	16.88	17.48	19599500	10.896
2015-04-08	18.68	18.70	17.60	18.18992	22406200	11.33852
2015-04-07	17.38992	18.54	17.00	18.33008	18075300	11.42589
2015-04-06	17.30	17.30	17.30	17.30	000	10.78379
2015-04-03	16.61008	17.35008	16.48	17.30	12787200	10.78379
2015-04-02	16.84992	16.98992	16.48	16.73008	10215600	10.42854
2015-04-01	16.28	16.98992	16.28	16.82	10510500	10.48459
2015-03-31	16.20	16.30	16.06	16.28	9270300	10.14799
2015-03-30	16.28	16.28	16.00	16.21008	7233600	10.1044
2015-03-27	16.20	16.40	15.85	16.20	9598500	10.09812
2015-03-26	16.30	16.30	15.51	16.08	10651000	10.02332
2015-03-25	16.63008	16.63008	15.99	16.32	12691400	10.17292
